name,mark,director,release_time,length,imdb_link,cover_link,summary
这个杀手不太冷,9.4,吕克·贝松,上映日期:,110分钟(剧场版),http://www.imdb.com/title/tt0110413,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,"
                                　　里昂（让·雷诺饰）是名孤独的职业杀手，受人雇佣。一天，邻居家小姑娘马蒂尔达（纳塔丽·波特曼饰)敲开他的房门，要求在他那里暂避杀身之祸。原来邻居家的主人是警方缉毒组的眼线，只因贪污了一小包毒品而遭恶警（加里·奥德曼饰）杀害全家的惩罚。马蒂尔达得到里昂的留救，幸免于难，并留在里昂那里。里昂教小女孩使枪，她教里昂法文，两人关系日趋亲密，相处融洽。
                                    "
天堂电影院,9.1,朱塞佩·托纳多雷,1988-11-17(意大利),又名:,http://www.imdb.com/title/tt0095765,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910901025.jpg,"
                            "
当幸福来敲门,8.9,加布里埃莱·穆奇诺,上映日期:,片长:,http://www.imdb.com/title/tt0454921,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg,"
                                　　克里斯•加纳（威尔·史密斯 Will Smith 饰）用尽全部积蓄买下了高科技治疗仪，到处向医院推销，可是价格高昂，接受的人不多。就算他多努力都无法提供一个良好的生活环境给妻儿，妻子（桑迪·牛顿 Thandie Newton 饰）最终选择离开家。从此他带着儿子克里斯托夫（贾登·史密斯 Jaden Smith 饰）相依为命。克里斯好不容易争取回来一个股票投资公司实习的机会，就算没有报酬，成功机会只有百分之五，他仍努力奋斗，儿子是他的力量。他看尽白眼，与儿子躲在地铁站里的公共厕所里，住在教堂的收容所里…… 他坚信，幸福明天就会来临。
                        "
无间道,9.0,刘伟强,上映日期:,片长:,http://www.imdb.com/title/tt0338564,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2233971046.jpg,"
                                　　1991年，香港黑帮三合会会员刘健明（刘德华）听从老大韩琛（曾志伟）的吩咐，加入警察部队成为黑帮卧底，韩琛许诺刘健明会帮其在七年后晋升为见习督察。1992年，警察训练学校优秀学员陈永仁（梁朝伟）被上级要求深入到三合会做卧底，终极目标是成为韩琛身边的红人。2002年，两人都不负重望，也都身背重压，刘健明渐想成为一个真正的好人，陈永仁则盼着尽快回归警察身份。
                                    "
触不可及,9.1,奥利维埃·纳卡什,2011-11-02(法国),又名:,http://www.imdb.com/title/tt1675434,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,"
                                　　因为一次跳伞事故，白人富翁菲利普Philippe（弗朗索瓦·克鲁塞 François Cluzet 饰）瘫痪在床，欲招聘一名全职陪护。由于薪酬高，应聘者云集，个个舌灿莲花，却无法打动他的心。直到黑人德希斯Driss（奥玛·赛 Omar Sy 饰）的出现才让他作出决定。德希斯刚从监狱出来，背负家庭重担，一心只想寻张辞退信以申领救济金，而且他明显对女助理的兴趣要远大于这份工作。但是菲利普还是一眼相中了这个小伙子。于是，德希斯开始了一个月的试用期。虽然舒适的豪宅环境让他倍感虚荣，但是他仍面临很多挑战：不仅要为菲利普作身体复健，还得给他洗浴、灌肠、拆信、穿丝袜等。起初，两人的思维方式与价值观大相径庭，但是，随着了解的不断深入，他们成为了朋友……
                                    "
星际穿越,9.2,克里斯托弗·诺兰,上映日期:,片长:,http://www.imdb.com/title/tt0816692,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg,"
                            "
乱世佳人,9.2,维克多·弗莱明,语言:,1940-01-17(美国),http://www.imdb.com/title/tt0031381,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,"
                                　　美国南北战争前夕，南方农场塔拉庄园的千金斯嘉丽（费雯·丽 Vivien Leigh 饰）爱上了另一个农场主的儿子艾希礼（莱斯利·霍华德 Leslie Howard 饰），遭到了拒绝，为了报复，她嫁给了自己不爱的男人，艾希礼妻子梅兰（奥利维娅·德哈维兰 Olivia de Havilland 饰）的弟弟查尔斯。
                                    "
龙猫,9.1,宫崎骏,语言:,片长:,http://www.imdb.com/title/tt0096283,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p537668599.jpg,"
                                　　小月的母亲生病住院了，父亲带着她与四岁的妹妹小梅到乡间的居住。她们对那里的环境都感到十分新奇，也发现了很多有趣的事情。她们遇到了很多小精灵，她们来到属于她们的环境中，看到了她们世界中很多的奇怪事物，更与一只大大胖胖的龙猫成为了朋友。龙猫与小精灵们利用他们的神奇力量，为小月与妹妹带来了很多神奇的景观，令她们大开眼界。
                                    "
教父,9.2,弗朗西斯·福特·科波拉,1972-03-15(纽约首映),175 分钟,http://www.imdb.com/title/tt0068646,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2190556185.jpg,"
                                　　40年代的美国，“教父”维托·唐·柯里昂（马龙·白兰度 饰）是黑手党柯里昂家族的首领，带领家族从事非法的勾当，但同时他也是许多弱小平民的保护神，深得人们爱戴。
                                    "
霸王别姬,9.5,陈凯歌,上映日期:,171 分钟,http://www.imdb.com/title/tt0106332,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910813120.jpg,"
                                　　段小楼（张丰毅）与程蝶衣（张国荣）是一对打小一起长大的师兄弟，两人一个演生，一个饰旦，一向配合天衣无缝，尤其一出《霸王别姬》，更是誉满京城，为此，两人约定合演一辈子《霸王别姬》。但两人对戏剧与人生关系的理解有本质不同，段小楼深知戏非人生，程蝶衣则是人戏不分。
                                    "
