name,mark,director,release_time,length,imdb_link,cover_link,summary
飞越疯人院,9.0,米洛斯·福尔曼,片长:,IMDb链接:,http://www.imdb.com/title/tt0073486,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,"
                                　　麦克墨菲（杰克·尼科尔森 Jack Nicholson 饰）为了逃避监狱里的强制劳动，装作精神异常，被送进了精神病院，他的到来，给死气沉沉的精神病院带来了剧烈的冲击。
                                    "
两杆大烟枪,9.1,盖·里奇,上映日期:,107分钟,http://www.imdb.com/title/tt0120735,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,"
                                　　艾迪（尼克·莫伦）思维敏捷，是个玩牌高手。在三个好友的支持下，艾迪携巨资参加了黑社会的高额赌局，不想落入圈套，欠下50万的赌债。为了还清赌债，艾迪和朋友们绞尽脑汁，最终算计到一群毒贩身上，并为打劫购买了两杆老式烟枪。
                                    "
罗马假日,8.9,威廉·惠勒,上映日期:,118 分钟,http://www.imdb.com/title/tt0046250,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,"
                                　　欧洲某国的安妮公主（奥黛丽·赫本 Audrey Hepburn 饰）到访罗马，国务烦身，但她又厌倦繁文缛节。一天晚上，身心俱疲的她偷偷来到民间欣赏夜景，巧遇报社记者乔（格里高利·派克 Gregory Peck 饰）。二人把手同游，相当快乐。公主更是到乔的家中作客并在那过夜。
                                    "
天空之城,9.0,宫崎骏,上映日期:,片长:,http://www.imdb.com/title/tt0092067,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg,"
                                　　古老帝国拉比达是一座漂浮在空中的巨大的机器岛，传说那里已经无人居住，蕴藏着巨大的财富。因此，无论军方还是海盗，都在找寻着这座传说中的飞行岛。
                                    "
活着,9.1,张艺谋,上映日期:,片长:,http://www.imdb.com/title/tt0110081,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg,"
                                　　根据余华同名小说改编。
                                    "
蝙蝠侠：黑暗骑士,9.0,克里斯托弗·诺兰,官方网站:,上映日期:,http://thedarkknight.warnerbros.com,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,"
                            "
美丽心灵,8.9,朗·霍华德,2001-12-13(加州首映),135 分钟,http://www.imdb.com/title/tt0268978,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,"
                                　　本片是关于20世纪伟大数学家小约翰•福布斯-纳什的人物传记片。
                                    "
教父2,9.1,弗朗西斯·福特·科波拉,1974-12-12(纽约首映),202分钟,http://www.imdb.com/title/tt0071562,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,"
                                　　影片主要讲述第二代教父麦克·柯里昂（阿尔·帕西诺 饰）的奋斗历程，同时回忆了第一代教父维多·柯里昂（罗伯特·德尼罗 饰）创业的艰辛，反映了不同历史时期，两代教父的事业、家庭生活。
                                    "
死亡诗社,8.9,彼得·威尔,1989-06-09(美国),又名:,http://www.imdb.com/title/tt0097165,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824340.jpg,"
                                　　威尔顿预备学院以其沉稳凝重的教学风格和较高的升学率闻名，作为其毕业班的学生，理想就是升入名校。新学期文学老师约翰·基汀（罗宾·威廉姆斯 饰）的到来如同一阵春风，一反传统名校的严肃刻板。
                                    "
辩护人,9.1,杨宇硕,2013-12-18(韩国),又名:,http://www.lawyersong.kr,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,"
                                　　1978年，只有高中学历的宋佑硕（宋康昊 饰）通过多年的艰苦努力，终于通过司法考试，并在成为法官后很快转行成为一名律师。他敏锐地从最新政策中嗅到商机，以不动产代书业务起家。虽然被同行讥讽为随时随地派发名片的夜店小弟，但佑硕不以为忤，一步一步朝着心中的目标迈进。他依靠赚来的钱让妻儿过上富足的生活，也还了七年前在饭店大婶那里欠下的良心债。进入20世纪80年代，韩国民主化斗争愈演愈烈。佑硕全然不管窗外事，关起门来继续赚钱。然而社会的巨变已经不容他置身事外，饭店大婶的儿子朴镇宇因从属的釜山读书联合会被控为左翼社团而遭到逮捕，更受到残酷的虐待和不公的指控。
                                    "
V字仇杀队,8.8,詹姆斯·麦克特格,语言:,2006-03-17(美国),http://www.imdb.com/title/tt0434409,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg,"
                                　　未来的英国社会处于极权统治的高压下，不能容许同性恋者、异教徒等社会角色的存在，人民在黑暗政权下苟延残喘。
                                    "
海豚湾,9.3,路易·西霍尤斯,2009-07-31(美国),又名:,http://www.thecovemovie.com,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455222172.jpg,"
                                　　日本和歌山县太地，是一个景色优美的小渔村，然而这里却常年上演着惨无人道的一幕。每年，数以万计的海豚经过这片海域，他们的旅程却在太地戛然而止。渔民们将海豚驱赶到靠近岸边的一个地方，来自世界各地的海豚训练师挑选合适的对象，剩下的大批海豚则被渔民毫无理由地赶尽杀绝。这些屠杀，这些罪行，因为种种利益而被政府和相关组织所隐瞒。
                                    "
哈尔的移动城堡,8.9,宫崎骏,上映日期:,片长:,http://www.imdb.com/title/tt0347149,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg,"
                                　　继母因无力负担生活，将苏菲和她的两个妹妹都送到了制帽店去当学徒。两个妹妹很快先后就离开了制帽店去追寻各自的梦想，只有苏菲坚持了下来。一天，小镇旁边来了一座移动堡垒，传说堡垒的主人哈尔专吸取年青姑娘的灵魂，所以小镇的姑娘都不敢靠近。
                                    "
指环王3：王者无敌,9.1,彼得·杰克逊,制片国家/地区:,2004-03-12(中国大陆),http://www.lordoftherings.net/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg,"
                                　　魔幻战争逐渐进入高潮阶段。霍比特人弗拉多（伊利亚·伍德 Elijah Wood 饰）携带着魔戒，与伙伴山姆（Sean Astin 饰）以及狡猾阴暗的咕噜等前往末日山，一路上艰难险阻不断，魔君索伦为阻止魔戒被销毁用尽全力阻挠。另一方面，白袍巫师甘道夫（伊安·麦克莱恩 Ian McKellen 饰）率中土勇士们镇守刚铎首都——白城米那斯提里斯。魔兽大军压境，黑暗与光明的决战即将来临……
                                    "
鬼子来了,9.2,姜文,2000-05-12(戛纳电影节),139分钟,http://www.imdb.com/title/tt0245929,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1181775734.jpg,"
                                　　抗日战争末期，河北某偏僻乡村挂甲台的老实村民马大三（姜文 饰）迎来棘手难题：某人将分别装有日本鬼子花屋小三郎（香川照之 饰）和汉奸翻译董汉臣的麻袋扔给他，声称不日来取，却迟迟不见其来。厚道的马大三一边将两人当亲爹娘侍奉，一边同村人商议计策，最后决定将两人处死，但终因“天 意”不了了之。
                                    "
指环王1：魔戒再现,8.9,彼得·杰克逊,制片国家/地区:,2002-04-04(中国大陆),http://www.lordoftherings.net,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg,"
                            "
指环王2：双塔奇兵,9.0,彼得·杰克逊,制片国家/地区:,2003-04-25(中国大陆),http://www.lordoftherings.net,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg,"
                            "
饮食男女,9.1,李安,1994-08-03(美国),又名:,http://www.imdb.com/title/tt0111797,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,"
                                　　台湾中国菜硕果仅存的大师老朱（郎雄）退休后，渐尝老年生活的诸多尴尬：每周日费心做出的一桌丰盛菜肴，并无将三个女儿（杨贵媚、吴倩莲、王渝文）齐齐拉到饭桌的吸引力，已经长大成人的她们，心里藏了许多比陪父亲吃饭更重要的事；多年老友的突然离世，令他在友情这块也有了缺口；而对厨师来讲最重要的味觉的丧失，则将其彻底推到人生的低谷。
                                    "
情书,8.8,岩井俊二,1999-03(中国大陆),117分钟,http://www.imdb.com/title/tt0113703,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg,"
                                　　日本神户某个飘雪的冬日，渡边博子（中山美穗）在前未婚夫藤井树的三周年祭日上又一次悲痛到不能自已。正因为无法抑制住对已逝恋人的思念，渡边博子在其中学同学录里发现“藤井树” 在小樽市读书时的地址时，依循着寄发了一封本以为是发往天国的情书。
                                    "
音乐之声,8.9,罗伯特·怀斯,语言:,片长:,http://www.imdb.com/title/tt0059742,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,"
                                　　玛利亚（朱丽·安德鲁斯  饰）是一个年轻活泼的修女，喜欢在大自然下高声歌唱，所以她常常忘记了修道院里的规矩。院长认为玛利亚并不属于规矩严格的修道院。院长与众嬷嬷商量后，决定安排玛利亚到一位名叫特拉普（克里斯托弗·普卢默 饰）上校家当家庭教师。
                                    "
致命魔术,8.8,克里斯托弗·诺兰,上映日期:,130分钟,http://www.imdb.com/title/tt0482571,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,"
                                　　19世纪末，人们对科学文明还不是认识得太过清楚，于是，安吉尔（休•杰克曼Hugh Jackman饰）和伯登（克里斯蒂安•贝尔Christian Bale饰）的魔术，成为了伦敦城内的神奇人物。安吉尔出身贵族，魔术手段华丽丰富，是富人圈子里的表演常客。而伯登即使出身平平，争强好胜的心智和充满创造力的魔术技巧，却也令他有了名气。两人自小本是要好的伙伴，然而，现在魔术界二人各有领地，并且都有野心想成为音乐大厅里的顶级魔术师，一番明争暗斗如箭在弦上。
                                    "
看不见的客人,8.8,奥里奥尔·保罗,语言:,2016-09-23(奇幻电影节),http://www.imdb.com/title/tt4857264,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,"
                                　　艾德里安（马里奥·卡萨斯 Mario Casas 饰）经营着一间科技公司，事业蒸蒸日上，家中有美丽贤惠的妻子和活泼可爱的女儿，事业家庭双丰收的他是旁人羡慕的对象。然而，野心勃勃的艾德里安并未珍惜眼前来之不易的生活，一直以来，他和一位名叫劳拉（芭芭拉·蓝妮 Bárbara Lennie 饰）的女摄影师保持着肉体关系。
                                    "
本杰明·巴顿奇事,8.8,大卫·芬奇,上映日期:,166分钟,http://www.imdb.com/title/tt0421715,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,"
                                　　飓风正在侵袭美国新奥尔良，一位病危的老妇睁开了她的睡眼。老妇名叫戴茜（凯特·布兰切特饰），她叫女儿凯若琳（朱莉娅•奥蒙德饰）为她阅读一本日记。这本日记的作者叫本杰明•巴顿（布拉德•皮特饰）。本杰明出生在第一次世界大战停战之时，但生来便像个老人的他被父亲当作怪物，被遗弃在了养老院。本杰明在养老院与老人们一起生活。但谁都没有想到，本杰明逆向发育——越活越年轻！也许“越活越年轻”是某些人的梦想，但真正这样成长的本杰明却有了别人无法理解的烦恼与快乐。穿越半世纪的世界变革，本杰明身处其中，感受别人感受不到的感受。
                                    "
剪刀手爱德华,8.7,蒂姆·波顿,上映日期:,105 分钟,http://www.imdb.com/title/tt0099487,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,"
                                　　爱德华（约翰尼•戴普 饰）是一个机器人，他拥有人的心智，却有一双剪刀手，孤独地生活在古堡里，闯入古堡的化妆品推销员佩格把他带回家，让他走进了人类的世界。单纯的爱德华爱上了佩格的女儿金（薇诺娜•瑞德 饰），金也慢慢的被爱德华的善良所吸引。
                                    "
勇敢的心,8.8,梅尔·吉布森,制片国家/地区:,1995-05-24,http://www.imdb.com/title/tt0112573,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg,"
                                　　威廉•华莱士童年时，其父、苏格兰民族英雄马索•华莱士在与英军的斗争中牺牲，他开始接受父亲好友的指导，学习苏格兰文化和武术。青年华莱士（梅尔•吉布森）学成回到故乡，向美丽的少女梅伦求婚，不想梅伦被英军抢去且遭杀害。在广大村民“英雄之后”的呼声中，华莱士率众揭竿起义，并与苏格兰贵族罗伯结成联盟，但不久他发现，苏格兰贵族考虑的只是自身的利益。
                                    "
小鞋子,9.2,马基德·马基迪,语言:,1999-01-22(美国),http://www.cinemajidi.com/children/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173580603.jpg,"
                                　　家境贫寒的男孩Ali（Amir Farrokh Hashemian）帮妹妹Zahra（Bahare Seddiqi）取修补好的鞋子时，不慎将鞋子弄丢，为了不被父（Mohammad Amir Naji）、母（Fereshte Sarabandi ）责罚，他央求Zahra暂时保密，说两人可以替换着穿他的鞋子上学，并答应一定会帮她买双新鞋子。
                                    "
被嫌弃的松子的一生,8.9,中岛哲也,2006-05-27(日本),又名:,http://www.imdb.com/title/tt0768120,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453723669.jpg,"
                                　　有一天父亲（香川照之饰）突然来找阿笙（瑛太饰），告诉他有个素未谋面的姑姑死了，叫他去收拾下姑姑的房子。在河边的破烂小屋里，阿笙渐渐开始了解父亲口中的姑姑，到底有着怎样的一生。
                                    "
素媛,9.1,李濬益,2013-10-02(韩国),又名:,http://www.wish-movie.kr,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,"
                                　　她（李来 饰）是一个美丽平凡的小女孩，和爸爸妈妈生活在位于街角的家中。家里经营着以她的名字素媛命名的杂货店，母亲（严智媛 饰）作为老板娘日夜忙碌不得闲暇，父亲则在工厂干着繁重的工作。在那个飘雨的早上，素媛打着雨伞独自上学。在离学校近在咫尺的地方，她遭遇一个相貌猥琐、酒气冲天的大叔，由此开启了她的悲剧之旅。柔嫩的小花遭到暴风雨无情摧残，受伤的岂止枝枝叶叶，更是那迎着阳光无忧成长的心。无良媒体铺天盖地大肆渲染，作为受害者的素媛一家仿佛成了周身污秽的耻辱之人，被四周诧异好奇的目光所包围。
                                    "
七宗罪,8.7,大卫·芬奇,语言:,片长:,http://www.imdb.com/title/tt0114369,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457631605.jpg,"
                                　　“暴食”、“贪婪”、“懒惰”、“嫉妒”、“骄傲”、“淫欲”、“愤怒”，这是天主教教义所指的人性七宗罪。城市中发生的连坏杀人案，死者恰好都是犯有这些教义的人。凶手故弄玄虚的作案手法，令资深冷静的警员沙摩塞（摩根•弗里曼 Morgan Freeman 饰）和血气方刚的新扎警员米尔斯（布拉德•皮特 Brad Pitt 饰）都陷入了破案的谜团中。他们去图书馆研读但丁的《神曲》，企图从人间地狱的描绘中找到线索，最后从宗教文学哲学的世界中找到了凶手作案计划和手段的蛛丝马迹。凶手前来投案自首，这令众人都松了一口气，以为案件就此结束，怎料还是逃不出七宗罪的杀人逻辑，这次凶手瞄准的目标，是那个犯了“愤怒”罪的人……
                        "
天使爱美丽,8.7,让-皮埃尔·热内,2001-04-25(法国),122分钟,http://www.imdb.com/title/tt0211915,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p803896904.jpg,"
                                　　艾米莉（奥黛丽·塔图 Audrey Tautou 饰）有着别人看来不幸的童年——父亲给她做健康检查时，发现她心跳过快，便断定她患上心脏病，从此艾米莉与学校绝缘。随后因为一桩意外，母亲在她眼前突然死去。这一切都毫不影响艾米莉对生活的豁达乐观。
                                    "
摔跤吧！爸爸,9.1,涅提·蒂瓦里,语言:,2016-12-23(印度),http://www.imdb.com/title/tt5074352,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg,"
                                　　马哈维亚（阿米尔·汗 Aamir Khan 饰）曾经是一名前途无量的摔跤运动员，在放弃了职业生涯后，他最大的遗憾就是没有能够替国家赢得金牌。马哈维亚将这份希望寄托在了尚未出生的儿子身上，哪知道妻子接连给他生了两个女儿，取名吉塔（法缇玛·萨那·纱卡 Fatima Sana Shaikh 饰）和巴比塔（桑亚·玛荷塔 Sanya Malhotra 饰）。让马哈维亚没有想到的是，两个姑娘展现出了杰出的摔跤天赋，让他幡然醒悟，就算是女孩，也能够昂首挺胸的站在比赛场上，为了国家和她们自己赢得荣誉。
                                    "
入殓师,8.8,泷田洋二郎,2008-09-13(日本),又名:,http://www.okuribito.jp,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p594972928.jpg,"
                                　　买了昂贵的大提琴，想要成就一番事业的小林大悟（本木雅弘 饰），经历了4个月的管弦乐演奏，得到的却是“乐团解散”的噩耗与购买乐器的高昂债务。迫不得已，大悟与妻子美香（广末凉子 饰）搬到老屋，过着清贫的日子。某日，一则广告吸引了大悟的注意：NK代理公司，帮助旅行，高薪短工时。大悟来到NK代理公司面试，社长佐佐木生荣（山崎努 饰）二话不说就决定聘用大悟，但却对工作内容避而不谈。在大悟的再三追问下，佐佐木社长终于道明：是入殓（日语Nou Kan）工作！
                                    "
沉默的羔羊,8.7,乔纳森·戴米,上映日期:,118分钟,http://www.imdb.com/title/tt0102926,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,"
                                　　见习特工克拉丽斯（茱迪•福斯特 Jodie Foster 饰）所在的城市发生了一系列专剥女性皮的命案。克拉丽斯奉命前去访问被收监的精神有问题的精神病学家汉尼拔博士（安东尼•霍普金斯 Anthony Hopkins 饰），以获取罪犯犯罪心理资料。汉尼拔要求克拉丽斯说出个人经历供他分析以换取他的协助。克拉丽斯的思维完全不是博士的对手，临阵败走了。
                                    "
黑客帝国,8.8,莉莉·沃卓斯基,1999-03-31(美国),又名:,http://www.imdb.com/title/tt0133093,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910908765.jpg,"
                                　　不久的将来，网络黑客尼奥（基奴李维斯 饰）对这个看似正常的现实世界产生了怀疑。他结识了黑客崔妮蒂（凯莉·安·摩丝 饰），并见到了黑客组织的首领墨菲斯（劳伦斯·菲什伯恩 饰）。墨菲斯告诉他，现实世界其实是由一个名叫“母体”的计算机人工智能系统控制，人们就像他们饲养的动物，没有自由和思想，而尼奥就是能够拯救人类的救世主。
                                    "
拯救大兵瑞恩,8.9,史蒂文·斯皮尔伯格,语言:,片长:,http://www.rzm.com/pvt.ryan/index.html,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,"
                                　　瑞恩（马特•达蒙 Matt Damon饰 ）是二战期间的美国伞兵，被困在了敌人后方。更不幸的是，他的三个兄弟全部在战争中死亡，如果他也遇难，家中的老母亲将无依无靠。
                                    "
西西里的美丽传说,8.7,朱塞佩·托纳多雷,上映日期:,109 分钟,http://www.imdb.com/title/tt0213847,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792400696.jpg,"
                            "
低俗小说,8.8,昆汀·塔伦蒂诺,上映日期:,片长:,http://www.imdb.com/title/tt0110912,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,"
                            "
钢琴家,9.0,罗曼·波兰斯基,语言:,2002-09-25(法国),http://www.imdb.com/title/tt0253474,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792484461.jpg,"
                                　　史标曼（艾德里安•布洛迪 Adrien Brody 饰）是波兰一家电台的钢琴师。二战即将爆发之时，他们全家被迫被赶进华沙的犹太区。在战争的颠沛流离中，家人和亲戚最终被纳粹杀害，而标曼本人也受尽种种羞辱和折磨，他侥幸得到一位朋友的帮助，暂时有了藏身之处。战争愈加猛烈，朋友不得不抛下 他回老家寻得安全的住所养育儿女。此时史标曼恶病缠身，却还要在搜捕中逃亡。在废墟的阁楼上他遇见了一名德国军官，在军官的要求下他弹奏了钢琴曲。美妙的琴声令德国军官萌发了恻隐之心，他暗暗帮助标曼直到俄军对波兰的解放到来……
                                    "
狮子王,8.9,罗杰·阿勒斯,制片国家/地区:,1995-07-15(中国大陆),http://www.imdb.com/title/tt0110357,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg,"
                                　　辛巴是狮子王国的小王子，他的父亲穆法沙是一个威严的国王。然而叔叔刀疤却对穆法沙的王位觊觎已久。
                                    "
美国往事,9.1,赛尔乔·莱翁内,上映日期:,片长:,http://www.onceuponatimeinamerica.net,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,"
                                　　二十年代的美国，纽约少年“面条”（罗伯特•德尼罗 饰）和几个同龄朋友一起认识了聪明狡黠的“麦大”（詹姆斯 • 伍兹 饰），他们开始从事走私活动。不久，面条在一场械斗中杀伤人命，被关进监牢。
                                    "
蝴蝶效应,8.7,埃里克·布雷斯,语言:,片长:,http://www.imdb.com/title/tt0289879,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,"
                                　　伊万（艾什顿·库奇 Ashton Kutcher 饰）曾经有一个糟糕的童年，因为他行为闯下了大祸，令他童年充满不堪回忆的往事。而事实上，他确实只是依稀记得一点可怕的情景，这些情景一直纠缠着他的正常生活。伊万接受心理学家建议，把琐碎生活记在记事本里，却偶然发现通过记事本回到过去。
                                    "
阳光灿烂的日子,8.8,姜文,1994-09-09(威尼斯电影节),134分钟(中国大陆),http://www.imdb.com/title/tt0111786,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p967457079.jpg,"
                                　　20世纪70年代初的北京，忙着“闹革命”大人无空理会小孩，加上学校停课无事可做，以军队大院男孩为突出代表的少年人便自找乐子，靠起哄、打架、闹事、拍婆子等方式挥霍过量的荷尔蒙。马小军（夏雨 饰）就是这样的少年，他的嗜好之一是趁别人家无人用万能钥匙将其锁打开，溜进去耍玩一番，正是用这样的方式，少女米兰（宁静 饰）的照片先于其人入了马小军的双眼。通过院里的“头儿”刘忆苦（耿乐 饰），马小军又见到之前在炮局偶然瞥见过一眼的米兰，开始正式将其当作梦中情人，然而在米兰眼中，马小军不过是毛孩一个，她中意的人是成熟、稳重、帅气的刘忆苦。自此，马小军迎来五味混杂的青春期生活。
                                    "
末代皇帝,8.9,贝纳尔多·贝托鲁奇,上映日期:,片长:,http://www.imdb.com/title/tt0093389,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452088641.jpg,"
                                　　溥仪（尊龙 饰）的一生在电影中娓娓道来。他从三岁起登基，年幼的眼光中只有大臣身上的一只蝈蝈，江山在他心中只是一个不明所以的名词。长大了，他以为可以变革，却被太监一把烧了朝廷账本。他以为是大清江山的主人，却做了日本人的傀儡。
                                    "
心灵捕手,8.8,格斯·范·桑特,片长:,IMDb链接:,http://www.imdb.com/title/tt0119217,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,"
                                　　麻省理工学院的数学教授蓝波在席上公布了一道困难的数学题，却被年轻的清洁工威尔（马特·戴蒙 饰）解了出来。可是威尔却是个问题少年，成天和好朋友查克（本·阿弗莱特 饰）等人四处闲逛，打架滋事。当蓝波找到这个天才的时候，他正因为打架袭警被法庭宣判送进看守所。蓝波向法官求情保释，才使他免于牢狱之灾。
                                    "
禁闭岛,8.6,马丁·斯科塞斯,上映日期:,片长:,http://www.imdb.com/title/tt1130884,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg,"
                                　　本片根据美国小说家丹尼斯·勒翰（Dennis Lehane）的同名小说改编。 1954年，联邦警官泰迪（莱昂纳多·迪卡普里奥 Leonardo DiCaprio 饰）和搭档查克（马克·鲁弗洛 Mark Ruffalo 饰）乘船来到波士顿附近的禁闭岛精神病犯监狱调查一桩离奇失踪案。手刃亲生骨肉的女犯蕾切尔（艾米莉·莫迪默 Emily Mortimer 饰）从戒备森严的牢室神秘逃脱，藏匿于孤岛深处。泰迪怀疑监狱的主治精神病医师约翰·考利（本·金斯利 Ben Kingsley 饰）有意隐瞒内情，并向查克透露他上岛的真实目的其实是寻找当年纵火烧死他妻子德洛丽丝（米歇尔·威廉姆斯 Michelle Williams 饰）的管理员，并揭露美国政府利用精神病犯人进行人体科学实验的罪行。但随着调查的逐渐深入，真相却变得越来越扑朔迷离……
                        "
玛丽和马克思,8.9,亚当·艾略特,2009-01-15(圣丹斯电影节),92分钟,http://www.imdb.com/title/tt0978762,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1820615077.jpg,"
                            "
重庆森林,8.7,王家卫,1994-07-14(香港),又名:,http://www.imdb.com/title/tt0109424,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg,"
                                　　编号为223的警察（金城武）失恋后患上失恋综合症，在与金发女杀手（林青霞）擦肩而过又离奇相遇并有了一晚温情后，原本以为包括“爱情”在内的所有东西都有保质期的他意外地迎来心灵的短暂温暖。可是，他们的爱情还是结束了。
                                    "
春光乍泄,8.8,王家卫,上映日期:,96分钟,http://www.imdb.com/title/tt0118845,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,"
                                　　黎耀辉（梁朝伟）与何宝荣（张国荣）是一对同性恋人，为了有新的开始，他们怀着美丽的梦想（去看南美洲大瀑布）离开香港来到阿根廷，却在布宜诺斯艾利斯迷了路。黎耀辉想安下心来过日子，无奈何宝荣于夜夜笙歌中放纵着自己的生命，以期找寻更多的刺激，只当黎耀辉是他受伤后的港湾，两人分歧 、争吵越来越多，心的距离越来越远。
                                    "
大闹天宫,9.2,万籁鸣,1961(中国大陆),2004(中国大陆),http://www.imdb.com/title/tt0059855,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,"
                                　　话说在东土傲来国有一座花果山，山上有一尊石猴吸收日精月华化身为一只神猴（邱岳峰 音），统领着山中的猴子猴孙。为求得一件称心的宝贝，神猴孙大圣潜入龙宫，强硬求来大禹治水时的定海神针如意金箍棒。东海龙王（毕克 音）心有不甘，于是上天将此事诉诸玉帝（富润生 音）。玉皇大帝命令太白金星（尚华 音）下界招安，许以爵位。不知有诈的孙大圣欣然前往，却发现只是负责养马的弼马温。得知受骗的猴王反下天庭，与天兵天将在花果山展开大战……
                                    "
第六感,8.8,M·奈特·沙马兰,上映日期:,107分钟,http://www.imdb.com/title/tt0167404,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg,"
                                　　麦克（布鲁斯·威利斯 饰）是著名儿童心理学家，却也有始终未能治愈的患者，甚至因此遭到枪击，这名少年随后也饮枪自毙。这给麦克带来很大心理阴影，一年后他找到另一个症状很像这名患者的男孩柯尔（海利·乔·奥斯蒙 饰），并耐心的做起了他的医生。柯尔并不容易接近，但麦克还是慢慢赢得 了他的信任，得知了柯尔的秘密。原来柯尔有着灵异的第六感，可以看到鬼魂。虽然这令人感到难以置信，但麦克在证实了事情的真相后还是帮助柯尔接受了这个事实。
                                    "
幽灵公主,8.8,宫崎骏,冒险,上映日期:,http://www.imdb.com/title/tt0119698,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg,"
                                　　为了拯救危难中的村民，阿斯达卡的右手中了凶煞神的诅咒。他卡只好离开亲人往西方流浪以寻找解除诅咒的方法。旅途中他遇到了由幻姬大人带领的穷苦村民在麒麟兽的森林里开采铁矿，提炼矿石。
                                    "
让子弹飞,8.7,姜文,语言:,片长:,http://www.imdb.com/title/tt1533117,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,"
                                　　民国年间，花钱捐得县长的马邦德（葛优 饰）携妻（刘嘉玲 饰）及随从走马上任。途经南国某地，遭劫匪张麻子（姜文 饰）一伙伏击，随从尽死，只夫妻二人侥幸活命。马为保命，谎称自己是县长的汤 师爷。为汤师爷许下的财富所动，张麻子摇身一变化身县长，带着手下赶赴鹅城上任。有道是天高皇帝远，鹅城地处偏僻，一方霸主黄四郎（周润发 饰）只手遮天，全然不将这个新来的县长放在眼里。张麻子痛打了黄的武教头（姜武 饰），黄则设计害死张的义子小六（张默 饰）。原本只想赚钱的马邦德，怎么也想不到竟会被卷入这场土匪和恶霸的角力之中。鹅城上空愁云密布，血雨腥风在所难免……
                                    "
上帝之城,8.9,卡迪亚·兰德,2002-05-18(戛纳电影节),130分钟,http://www.imdb.com/title/tt0317248,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg,"
                            "
